Date,Source,SKU,MSKU,Quantity,OrderID,StockLeft
DELIVERED,meesho.csv,MONEY HEIST A-8_BROWN,CSTE_0199_MB_MHA8_Brown,1,116614722958250112_1,0
DELIVERED,meesho.csv,69UfqNAh,CSTE_0045_MB_LavienRose_Brown,1,116620058427683329_1,58
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116665551169940800_1,18
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116693533129338178_1,17
DELIVERED,meesho.csv,YOU ARE MY SUNSHINE SUN_BROWN,CSTE_0060_MB_YouAreMySunshine_Brown,1,116733106110886400_1,49
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,116748622021067458_1,3
CANCELLED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116761597631910018_1,16
RTO_COMPLETE,meesho.csv,6CKGxkiA,CSTE_0015_MB_HBD_Black,1,116782049662233920_1,342
CANCELLED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,116818414793813312_1,2
DELIVERED,meesho.csv,La Vie En Rose MB-Black,CSTE_0044_MB_LaVienRose_Black,1,116837736253648192_1,0
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116857258423644674_1,15
RTO_COMPLETE,meesho.csv,1617749754_17,CSTE_0240_SG_Wings_Red,1,116857438443172352_1,2
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,116896633433911874_1,1
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116899815447921344_1,14
DELIVERED,meesho.csv,MH-LA CASA DE PAPEL_BROWN,CSTE_0200_MB_MHLasaCasaDePapel_Brown,1,116907696440279744_1,1
CANCELLED,meesho.csv,MH_A8_Brown,CSTE_0199_MB_MHA8_Brown,1,116908488097164672_1,0
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116917675736853890_1,13
DELIVERED,meesho.csv,CSTE_0355_Wands_Harrypotter_light_SG,CSTE_0355_Wands_Harrypotter_light_SG,1,116918878781567552_1,0
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,116927499091309312_1,0
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,116937908090425472_1,0
DELIVERED,meesho.csv,69UfqNAh,CSTE_0045_MB_LavienRose_Brown,1,116947722275418691_1,57
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,116955105818996102_1,12
DELIVERED,meesho.csv,YouAreMySunshineMusicBox-Black,CSTE_0059_MB_YouAreMySunshine_Black,1,116966927137624193_1,7
RTO_COMPLETE,meesho.csv,69UfqNAh,CSTE_0045_MB_LavienRose_Brown,1,116974182633427072_1,56
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,117001079467699587_1,11
DELIVERED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,117082227434705025_1,10
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117094845805351040_1,0
CANCELLED,meesho.csv,CSTE_0359_Wands_Hermoine_light_SG,CSTE_0359_Wands_Hermoine_light_SG,1,117095329976091328_1,0
RTO_COMPLETE,meesho.csv,CSTE_0434_ST_Pokemon_Bulbasour_Green,CSTE_0434_ST_Pokemon_Bulbasour_Green,1,117100536909688128_1,19
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117116006815789635_1,0
RTO_COMPLETE,meesho.csv,MH_A8_Brown,CSTE_0199_MB_MHA8_Brown,1,117116747517293120_1,0
RTO_COMPLETE,meesho.csv,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,117138468206964032_1,34
DELIVERED,meesho.csv,YOU ARE MY SUNSHINE SUN_BROWN,CSTE_0060_MB_YouAreMySunshine_Brown,1,117146028179877186_1,48
DELIVERED,meesho.csv,Fire Sunglasses-Green,CSTE_0157_SG_FireGlass_Green,1,117149798162878594_1,6
DELIVERED,meesho.csv,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,117162655696973184_1,33
DELIVERED,meesho.csv,redstawberry_softtoy,CSTE_0320_ST_StrawberryRed,1,117169340683678212_1,0
DELIVERED,meesho.csv,69UfqNAh,CSTE_0045_MB_LavienRose_Brown,1,117217183315329730_1,55
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117228622074466432_1,0
DELIVERED,meesho.csv,CSTE_0430_Org_Compression_Kit_Blue,CSTE_0430_Org_Compression_Kit_Blue,1,117234929994367680_1,24
DELIVERED,meesho.csv,6CKGxkiA,CSTE_0015_MB_HBD_Black,1,117239729661005952_1,341
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117258084489130496_1,0
DELIVERED,meesho.csv,69UfqNAh,CSTE_0045_MB_LavienRose_Brown,1,117266562175758913_1,54
DELIVERED,meesho.csv,acrylic_heart_8note_kalimba,CSTE_0436_MB_Kalimba_8Notes_Heartshape,1,117285512162693248_1,10
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117286324565823616_1,0
CANCELLED,meesho.csv,SG_ButterFly_LightgreenPink,CSTE_0148_SG_ButterFly_RedGreen,1,117289263217013250_1,9
DELIVERED,meesho.csv,v1nepfRR,CSTE_0017_MB_HP_Brown,1,117292546161496192_1,0
